model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.09000063465242,53.019316517674596,73.17879787160693,69.86105099686675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.40743519177811,55.85863218916967,73.44401433659094,68.80158773330636,300.0,0.4,309.0,39.17931386260904,40.787577880722154,1.6082640181131098,1.5725592019806438,-2.099168299592891,4.343894253266468,1.8412652517186103,267.0,33.0,0.0,17.71376866351558,1.6549292399966664e-48,0.22,0.89,0.11,False,300.0,0.4,309.0,73.75655808318265,73.30853823602136,-0.4480198471613042,1.0824337033034572,-2.7496027517280157,1.4662118989094113,-0.31801033945916823,103.0,197.0,0.0,-7.168966891130464,5.944890360372224e-12,0.6866666666666666,0.3433333333333333,0.6566666666666666,False,300.0,0.4,309.0,70.20468372180495,68.6377294275753,-1.5669542942296597,1.0377080315122824,-3.659380790461036,0.36784451020863307,-1.5388376335688791,22.0,278.0,0.0,-26.154220342582736,2.9180528266072474e-79,0.14666666666666667,0.07333333333333333,0.9266666666666666,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.86551434853963,56.29871025695514,74.48344750553947,70.07198531908328,300.0,0.4,309.0,39.17931386260904,41.057742259774706,1.8784283971656661,2.0286942420103995,-3.5676925519582308,4.862006482090671,2.2214509314356974,259.0,41.0,0.0,16.037574095182084,3.387871987152773e-42,0.2733333333333333,0.8633333333333333,0.13666666666666666,False,300.0,0.4,309.0,73.75655808318265,74.34004614773049,0.5834880645478302,0.9850180055836835,-1.5314505962974436,2.3117954240551244,0.6149610148857232,226.0,74.0,0.0,10.260025376977852,2.331708776298218e-21,0.49333333333333335,0.7533333333333333,0.24666666666666667,False,300.0,0.4,309.0,70.20468372180495,69.90446223352333,-0.30022148828161815,0.945108715957055,-2.179438581985561,1.4153738257182813,-0.26610135839209015,114.0,186.0,0.0,-5.502000589436267,8.07519054748226e-08,0.76,0.38,0.62,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.219631418705106,55.07503135257262,73.8286930754453,70.28448984007632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.62105155164743,55.66647579957017,74.28240609508282,70.448345250485,300.0,0.4,309.0,39.17931386260904,40.59268158969483,1.413367727085784,0.9611107732700489,-0.2952135225583353,3.7192673643380414,1.373060358373344,285.0,15.0,0.0,25.47078631489739,6.946339426041325e-77,0.1,0.95,0.05,False,300.0,0.4,309.0,73.75655808318265,74.22487456374827,0.46831648056561176,0.9518542279843847,-1.50117948506642,2.1884141908205073,0.4949297237550554,207.0,93.0,0.0,8.521766406176946,7.860546920780366e-16,0.62,0.69,0.31,False,300.0,0.4,309.0,70.20468372180495,70.33729692020462,0.1326131983996723,0.8901332160462939,-1.5057432362176864,1.7534382799248491,0.18382979297715263,170.0,130.0,0.0,2.580431706645787,0.010344514433162874,0.8666666666666667,0.5666666666666667,0.43333333333333335,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.67489726084778,55.00094099051722,72.15816243075768,67.84483483892517,300.0,0.4,309.0,39.17931386260904,39.76989216564615,0.5905783030371072,2.353724056933879,-5.26646926413556,3.860406100626607,1.0697592827001863,222.0,78.0,0.0,4.345928417966688,1.902876591296509e-05,0.52,0.74,0.26,False,300.0,0.4,309.0,73.75655808318265,72.0065783453862,-1.749979737796444,1.1686326370472506,-4.281782809054198,0.48162218098886933,-1.6734199544179762,16.0,284.0,0.0,-25.93675481918746,1.654686024664213e-78,0.10666666666666667,0.05333333333333334,0.9466666666666667,False,300.0,0.4,309.0,70.20468372180495,67.65968825654434,-2.544995465260622,1.1025048499986545,-4.595255485606234,-0.4095012079743549,-2.5094408385190334,0.0,300.0,0.0,-39.98224090233408,5.280164077169568e-122,0.0,0.0,1.0,True
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.157447850801674,62.360690336035404,80.53532724315721,74.98107189734263,300.0,0.4,309.0,42.83864434445294,46.097994012007575,3.2593496675546416,1.0064903653419008,1.6635559035313618,5.602761660035449,3.2067577019953326,300.0,0.0,0.0,56.08955056335449,9.67525673269169e-161,0.0,1.0,0.0,True,300.0,0.4,309.0,78.93061623308394,80.51268074504766,1.5820645119637222,0.38860385637587563,0.8629423548681464,2.320674942824444,1.5767661016735879,300.0,0.0,0.0,70.5143829793177,2.3053921656954257e-188,0.0,1.0,0.0,True,300.0,0.4,309.0,75.17959693302485,74.94885302711974,-0.230743905905124,0.28826461649376345,-0.7645521103178432,0.356737511250579,-0.2538023836018588,60.0,240.0,0.0,-13.86435052021772,4.288542797257821e-34,0.4,0.2,0.8,False
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.06622679062855,62.19428807894841,80.53101753047336,75.13018635620892,300.0,0.4,309.0,42.83864434445294,45.06815814733372,2.229513802880782,0.9863013775375578,0.5847283097820406,4.491038136135879,2.1286441465043993,300.0,0.0,0.0,39.152649187277135,1.0235797904277207e-119,0.0,1.0,0.0,True,300.0,0.4,309.0,78.93061623308394,80.51366060200633,1.5830443689223883,0.38015343798806783,0.8656047202622635,2.3118762534509565,1.5630358824066437,300.0,0.0,0.0,72.12648903350043,3.889473143520249e-191,0.0,1.0,0.0,True,300.0,0.4,309.0,75.17959693302485,75.11425338722484,-0.06534354580001644,0.2726148243935978,-0.5583534242651592,0.5080053892625535,-0.08529727512963658,113.0,187.0,0.0,-4.151584255334807,4.3109658126952814e-05,0.7533333333333333,0.37666666666666665,0.6233333333333333,False
google/gemma-2-9b-it,test.fr.default.out.postproc,43.02855970355561,59.73028416362383,78.93469682948864,75.20771924921951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.93055321046079,61.422278330456805,80.31991623814325,75.51319403682304,300.0,0.4,309.0,42.83864434445294,43.95046427620774,1.1118199317548003,0.9828551742227308,-0.4746778069416567,3.222176572738394,1.021418371278859,267.0,33.0,0.0,19.593208248509203,1.461297374286254e-55,0.22,0.89,0.11,False,300.0,0.4,309.0,78.93061623308394,80.30482621605086,1.3742099829669137,0.3782844619472035,0.6691743202001113,2.09110392818173,1.3742170046448343,300.0,0.0,0.0,62.92094310496043,1.6801647205483973e-174,0.0,1.0,0.0,True,300.0,0.4,309.0,75.17959693302485,75.47274019803044,0.29314326500558274,0.2530601597914206,-0.2167419857770486,0.8224385820063912,0.267858706824603,275.0,25.0,0.0,20.063965394821142,2.565631283877342e-57,0.16666666666666666,0.9166666666666666,0.08333333333333333,False
